,player_name,year,team,player_position,player_height,player_weight,process_status
7591,Peter Zesterman,2010,Dayton,-1,-1,-1,Failure: Did not find player
7634,Kenny Franklin Jr.,2010,Nicholls St.,-1,-1,-1,Failure: Did not find player
7638,Peter Abraham,2010,Stanford,-1,-1,-1,Failure: Did not find player
7673,Andres Irarrazabal,2010,Tennessee Martin,-1,-1,-1,Failure: Did not find player
7723,David (DJ) Jackson,2010,Penn St.,-1,-1,-1,Failure: Did not find player
7782,Luuk Kortekass,2010,Niagara,-1,-1,-1,Failure: Did not find player
7789,Dwight Thorne II,2010,Colorado,-1,-1,-1,Failure: Did not find player
7847,Chris Ebersole,2010,Stanford,-1,-1,-1,Failure: Did not find player
7876,Griffin Hoffmann,2010,Syracuse,-1,-1,-1,Failure: Did not find player
7906,Seve Beach,2010,IPFW,-1,-1,-1,Failure: Did not find player
7928,Patrick Inyard,2010,UMKC,-1,-1,-1,Failure: Did not find player
7940,Ben Kneller,2010,San Diego St.,-1,-1,-1,Failure: Did not find player
7956,"Roderick Pearson, Jr.",2010,Oral Roberts,-1,-1,-1,Failure: Did not find player
7958,Ralph Sampson III,2010,Minnesota,-1,-1,-1,Failure: Did not find player
8052,Jonathon Thompson,2010,Rider,-1,-1,-1,Failure: Did not find player
8066,Earl Gee II,2010,Longwood,-1,-1,-1,Failure: Did not find player
8067,Yaw Mensa,2010,UTEP,-1,-1,-1,Failure: Did not find player
8088,Anthony Anderson Jr.,2010,FIU,-1,-1,-1,Failure: Did not find player
8089,Phil Gary Jr.,2010,FIU,-1,-1,-1,Failure: Did not find player
8105,Kenneth Cooper,2010,UAB,-1,-1,-1,Failure: Did not find player
8144,Nemanja Milosevic,2010,Western Kentucky,-1,-1,-1,Failure: Did not find player
8199,Dewayne Wright Jr.,2010,Eastern Illinois,-1,-1,-1,Failure: Did not find player
8218,Tashan Fredrick,2010,Tennessee St.,-1,-1,-1,Failure: Did not find player
8237,Emeka Okafor Jr.,2010,Western Illinois,-1,-1,-1,Failure: Did not find player
8292,C. J. Reed,2010,Bethune Cookman,-1,-1,-1,Failure: Did not find player
8310,Howard Thompkins III,2010,Georgia,-1,-1,-1,Failure: Did not find player
8394,Rusian Pateev,2010,Arizona St.,-1,-1,-1,Failure: Did not find player
8408,Derrick Thomas,2010,Drexel,-1,-1,-1,Failure: Did not find player
8467,Norm Nixon Jr.,2010,Southern,-1,-1,-1,Failure: Did not find player
8479,Dwight Gentry II,2010,UT Arlington,-1,-1,-1,Failure: Did not find player
8481,Reggie Johnson,2010,Miami FL,-100,-100,-100,Failure: Other Error
8482,Billy Robinson Jr.,2010,Longwood,-1,-1,-1,Failure: Did not find player
8498,Cody Lay,2010,Arkansas,-1,-1,-1,Failure: Did not find player
8518,Phillip Duckett,2010,Grambling St.,-1,-1,-1,Failure: Did not find player
8529,Andy Poling,2010,Gonzaga,-1,-1,-1,Failure: Did not find player
8546,Corey Wright Jr.,2010,LIU Brooklyn,-1,-1,-1,Failure: Did not find player
8553,Bobby Hordyski,2010,Marshall,-1,-1,-1,Failure: Did not find player
8562,Jorge Brian Diaz,2010,Nebraska,-1,-1,-1,Failure: Did not find player
8586,Greg Dillon,2010,Grambling St.,-1,-1,-1,Failure: Did not find player
8651,Verdell Jones III,2010,Indiana,-1,-1,-1,Failure: Did not find player
8653,Lamont Morgan Jr.,2010,BYU,-1,-1,-1,Failure: Did not find player
8742,Don Smith,2010,Bryant,-1,-1,-1,Failure: Did not find player
8744,Khaliff Wyatt,2010,Temple,-1,-1,-1,Failure: Did not find player
8756,Jeff Osborne,2010,Cal St. Bakersfield,-1,-1,-1,Failure: Did not find player
8806,James Harvey Jr.,2010,Memphis,-1,-1,-1,Failure: Did not find player
8833,Jp Cotton,2010,George Washington,-1,-1,-1,Failure: Did not find player
8850,Clee Sherrod II,2010,North Carolina Central,-1,-1,-1,Failure: Did not find player
8897,Tony Watson II,2010,Buffalo,-1,-1,-1,Failure: Did not find player
8925,Steve Martin Jr.,2010,Chicago St.,-1,-1,-1,Failure: Did not find player
8942,Zachary Hule,2010,TCU,-1,-1,-1,Failure: Did not find player
8952,Jonathan Nicely,2010,North Carolina Central,-1,-1,-1,Failure: Did not find player
8964,Michael Gholston Jr.,2010,UMKC,-1,-1,-1,Failure: Did not find player
9020,Kylle Odister,2010,Cal Poly,-1,-1,-1,Failure: Did not find player
9033,Issac Butts,2010,Appalachian St.,-1,-1,-1,Failure: Did not find player
9093,Nikola Stojiljkovic,2010,San Francisco,-1,-1,-1,Failure: Did not find player
9170,J. Cunnigham D,2010,UNC Asheville,-1,-1,-1,Failure: Did not find player
9172,Larry Drew II,2010,North Carolina,-1,-1,-1,Failure: Did not find player
9214,Melvin Johnson III,2010,UTSA,-1,-1,-1,Failure: Did not find player
9252,Russ Permenter,2010,Providence,-1,-1,-1,Failure: Did not find player
9256,Mike Gerrity,2010,USC,-1,-1,-1,Failure: Did not find player
9259,Jonathan Montgomery,2010,Chicago St.,-1,-1,-1,Failure: Did not find player
9265,Christopher Jones,2010,Prairie View A&M,-1,-1,-1,Failure: Did not find player
9266,Louis Brown III,2010,South Carolina St.,-1,-1,-1,Failure: Did not find player
